ORDER_NUMBER,CUSTOMER_KEY,ORDER_TOTAL,DISCOUNT,ORDER_DATE,ORDER_STATUS,DELIVERY_STATUS
O100352,C100736,1201.6,0,02-12-2015,Delivered,ON-TIME
O100353,C100729,158.1,0,02-12-2015,Cancelled,
O100354,C100737,469.3800049,0,02-12-2015,Delivered,ON-TIME
O100355,C100105,782.5,0,27-05-2016,Delivered,ON-TIME
O100356,C100269,298.3800049,0,02-12-2015,Delivered,ON-TIME
O100357,C100738,1530.22998,0,02-12-2015,Delivered,ON-TIME
O100358,C100730,1696.61,0,02-12-2015,Delivered,ON-TIME
O100359,C100286,1073.58,0,02-12-2015,Delivered,ON-TIME
O100360,C100472,151.3000031,0,02-12-2015,Delivered,ON-TIME
O100361,C100345,495.24,0,02-12-2015,Delivered,ON-TIME
O100362,C100373,264.3500061,0,02-12-2015,Delivered,ON-TIME
O100363,C100739,1006.4,0,02-12-2015,Delivered,ON-TIME
O100364,C100740,432.65,0,02-12-2015,Delivered,ON-TIME
O100365,C100189,785.4000244,0,02-12-2015,Delivered,ON-TIME
O100366,C100106,0,0,27-05-2016,Delivered,LATE
O100367,C10043,146.42,0,02-12-2015,Delivered,ON-TIME
O100368,C100661,460.6799927,0,02-12-2015,Delivered,ON-TIME
O100369,C10068,1510.81,0,02-12-2015,Delivered,ON-TIME
O100370,C100363,2239.560059,0,02-12-2015,Delivered,ON-TIME
O100371,C100366,758.0100098,0,02-12-2015,Delivered,ON-TIME
O100372,C100289,1041.910034,0,02-12-2015,Delivered,ON-TIME
O100373,C100327,1198.5,0,02-12-2015,Delivered,ON-TIME
O100374,C100395,474.3399963,0,02-12-2015,Delivered,ON-TIME
O100375,C10086,520.8400269,0,02-12-2015,Delivered,ON-TIME
O100376,C100741,1090.86,0,02-12-2015,Delivered,ON-TIME
O100377,C100107,735.86,0,27-05-2016,Delivered,ON-TIME
O100378,C100742,699.210022,0,02-12-2015,Delivered,ON-TIME
O100379,C100304,1192.050049,0,02-12-2015,Delivered,ON-TIME
O100380,C100743,285.0599976,0,02-12-2015,Delivered,ON-TIME
O100381,C100744,426.3999939,0,02-12-2015,Delivered,ON-TIME
O100382,C100303,1740.800049,0,02-12-2015,Delivered,ON-TIME
O100383,C100745,845.75,0,02-12-2015,Delivered,ON-TIME
O100384,C100746,512.710022,0,02-12-2015,Delivered,LATE
O100385,C100711,495.269989,0,03-12-2015,Delivered,ON-TIME
O100386,C10037,433.6400146,0,03-12-2015,Delivered,ON-TIME
O100387,C100747,1713.6,0,03-12-2015,Delivered,ON-TIME
O100388,C100108,15.3,0,28-05-2016,Delivered,ON-TIME
O100389,C100638,675.33,0,03-12-2015,Delivered,ON-TIME
O100390,C10095,475.0599976,0,03-12-2015,Delivered,ON-TIME
O100391,C100294,1597.959961,0,03-12-2015,Delivered,ON-TIME
O100392,C100296,69.7,0,03-12-2015,Cancelled,
O100393,C100676,85.43,0,03-12-2015,Delivered,ON-TIME
O100394,C100748,2963.280029,0,03-12-2015,Delivered,ON-TIME
O100395,C100749,845.75,0,03-12-2015,Delivered,ON-TIME
O100396,C100315,725.7700195,0,03-12-2015,Delivered,ON-TIME
O100397,C100750,64.6,0,03-12-2015,Delivered,ON-TIME
O100398,C10078,70.13,0,03-12-2015,Delivered,ON-TIME
O100399,C100109,0,0,27-05-2016,Delivered,ON-TIME
O100400,C100728,1014.900024,0,03-12-2015,Delivered,ON-TIME
O100401,C100529,495.97,0,03-12-2015,Delivered,ON-TIME
O100402,C100700,2797.18,0,03-12-2015,Delivered,LATE
O100403,C100301,341.7000122,0,03-12-2015,Delivered,ON-TIME
O100404,C100751,91.8,0,03-12-2015,Delivered,ON-TIME
O100405,C100752,671.4,0,03-12-2015,Delivered,ON-TIME
O100406,C100336,1530.47998,0,03-12-2015,Delivered,ON-TIME
O100407,C100753,144.5,0,03-12-2015,Delivered,ON-TIME
O100408,C100754,1335.52,0,03-12-2015,Delivered,ON-TIME
O100409,C100741,510,0,03-12-2015,Delivered,ON-TIME
O100410,C100110,0,0,27-05-2016,Delivered,ON-TIME
O100411,C100744,378.25,0,03-12-2015,Delivered,ON-TIME
O100412,C100367,1400.579956,0,04-12-2015,Delivered,ON-TIME
O100413,C10094,418.0700073,0,04-12-2015,Delivered,ON-TIME
O100414,C10094,523.1400146,0,04-12-2015,Delivered,ON-TIME
O100415,C10082,455.7399902,0,04-12-2015,Delivered,ON-TIME
O100416,C100755,1026.24,0,04-12-2015,Delivered,ON-TIME
O100417,C100546,165.76,0,04-12-2015,Delivered,ON-TIME
O100418,C100107,1183.63,0,04-12-2015,Delivered,ON-TIME
O100419,C100642,159.3999939,0,04-12-2015,Delivered,ON-TIME
O100420,C100350,408.8500061,0,04-12-2015,Delivered,LATE
O100421,C100111,650.62,200,27-05-2016,Delivered,ON-TIME
O100422,C100756,1523.469971,0,04-12-2015,Delivered,ON-TIME
O100423,C100757,1822.420044,0,04-12-2015,Delivered,ON-TIME
O100424,C100656,576,0,04-12-2015,Cancelled,
O100425,C100758,2900.75,0,04-12-2015,Delivered,ON-TIME
O100426,C100760,4359.810059,0,04-12-2015,Delivered,ON-TIME
O100427,C100759,919.57,0,04-12-2015,Delivered,ON-TIME
O100428,C100761,839.1199951,0,04-12-2015,Delivered,ON-TIME
O100429,C100742,47.59999847,0,04-12-2015,Delivered,ON-TIME
O100430,C100721,822.8,0,04-12-2015,Delivered,ON-TIME
O100431,C100551,1685.92,0,04-12-2015,Delivered,ON-TIME
O100432,C10079,998.58,0,11-02-2016,Delivered,ON-TIME
O100433,C100112,5231.19,0,27-05-2016,Delivered,ON-TIME
O100434,C100555,345.8399963,0,04-12-2015,Delivered,ON-TIME
O100435,C100762,741.4000244,0,04-12-2015,Delivered,ON-TIME
O100436,C100662,394.4,0,04-12-2015,Delivered,ON-TIME
O100437,C100235,175.1199951,0,04-12-2015,Delivered,ON-TIME
O100438,C100763,2252.77,0,04-12-2015,Delivered,LATE
O100439,C100764,630.7,0,04-12-2015,Delivered,ON-TIME
O100440,C100442,1148.37,0,04-12-2015,Delivered,ON-TIME
O100441,C100765,354.39,0,04-12-2015,Delivered,ON-TIME
O100442,C100638,29.33,0,04-12-2015,Delivered,ON-TIME
O100443,C100285,428.2900085,0,04-12-2015,Delivered,ON-TIME
O100444,C100113,NULL,NULL,27-05-2016,Cancelled,
O100445,C100768,1307.79,0,04-12-2015,Delivered,ON-TIME
O100446,C100769,3232.600098,0,04-12-2015,Delivered,ON-TIME
O100447,C100770,915.93,0,05-12-2015,Delivered,ON-TIME
O100448,C10079,685.1,0,05-12-2015,Delivered,ON-TIME
O100449,C100771,892.94,0,05-12-2015,Delivered,ON-TIME
O100450,C100774,2306.35,0,05-12-2015,Delivered,ON-TIME
O100451,C100775,1042.54,0,05-12-2015,Delivered,ON-TIME
O100452,C100776,115.44,0,05-12-2015,Delivered,ON-TIME
O100453,C100341,875.0900269,0,05-12-2015,Delivered,ON-TIME
O100454,C100744,228.4700012,0,05-12-2015,Delivered,ON-TIME
O100455,C100114,0,0,27-05-2016,Cancelled,
O100456,C100777,1423.37,0,05-12-2015,Delivered,LATE
O100457,C100758,318.75,0,05-12-2015,Delivered,ON-TIME
O100458,C100753,80.4,0,05-12-2015,Delivered,ON-TIME
O100459,C100276,874.5300293,0,05-12-2015,Delivered,ON-TIME
O100460,C100128,848.7000122,0,05-12-2015,Delivered,ON-TIME
O100461,C100755,226.19,0,05-12-2015,Delivered,ON-TIME
O100462,C100367,171.1199951,0,05-12-2015,Delivered,ON-TIME
O100463,C100113,221,0,05-12-2015,Delivered,ON-TIME
O100464,C100101,70.13,0,05-12-2015,Delivered,ON-TIME
O100465,C100728,169.4100037,0,05-12-2015,Delivered,ON-TIME
O100466,C100115,0,0,27-05-2016,Cancelled,
O100467,C100728,161.5,0,05-12-2015,Delivered,ON-TIME
O100468,C100279,170.26,0,05-12-2015,Delivered,ON-TIME
O100469,C100449,720.64,0,05-12-2015,Delivered,ON-TIME
O100470,C100445,1143.34,0,05-12-2015,Delivered,ON-TIME
O100471,C100265,1286.89,0,05-12-2015,Delivered,ON-TIME
O100472,C100202,223.71,0,05-12-2015,Delivered,ON-TIME
O100473,C100780,2161.469971,0,06-12-2015,Delivered,ON-TIME
O100474,C100573,1192.63,0,06-12-2015,Delivered,LATE
O100475,C100204,277.6799927,0,06-12-2015,Delivered,ON-TIME
O100476,C100725,314.5,0,06-12-2015,Delivered,ON-TIME
O100477,C100116,2065.49,0,28-05-2016,Delivered,ON-TIME
